Unnamed: 1;QUADRO DE CONTROLE DE OBRA;Unnamed: 2;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 3;Unnamed: 7;Unnamed: 8;Unnamed: 9;
;;;;;;;;;;
;;;Complexo Alto Tietê - OAE Marginal - fase 02;;;Obra: ;P3931;;;
;;;SP-021 - Rodoanel Mário Covas - Leste;;;Estrada: ;;;;
;;;km 114+600 ao  km 117+000;;;km / estaca: ;;;;
FOL / CÓD.;N;REV.;;R0;R1;ASSUNTO;R2;R3;R4;
;;;;;;;;;;
AB-SPM00021D-114.117-825-C01/001;1;3;;11/07/2025 00:00;17/07/2025 00:00;Implantação - Planta, elevação e sondagens - apoios 1 a 13;21/07/2025 00:00;25/07/2025 00:00;;
AB-SPM00021D-114.117-825-C01/002;2;3;;06/08/2025 00:00;08/08/2025 00:00;Implantação - Planta, elevação e sondagens - apoios 13 a 21 - parte 1/2;26/09/2025 00:00;17/02/2026 00:00;;
AB-SPM00021D-114.117-825-C01/003;3;3;;06/08/2025 00:00;08/08/2025 00:00;Implantação - Planta, elevação e sondagens - apoios 13 a 21 - parte 2/2;26/09/2025 00:00;29/09/2025 00:00;;
AB-SPM00021D-114.117-825-C01/004;4;2;;25/07/2025 00:00;06/08/2025 00:00;Implantação - Planta, elevação e sondagens - apoios 21 a 33;26/09/2025 00:00;;;
AB-SPM00021D-114.117-825-C01/005;5;2;;11/08/2026 00:00;22/08/2025 00:00;Implantação - Planta, elevação e sondagens - apoios 33 a 45;29/08/2025 00:00;;;
AB-SPM00021D-114.117-825-C01/006;6;0;;26/09/2025 00:00;;Implantação - Planta, elevação e sondagens - apoios 45 a 57;;;;
AB-SPM00021D-114.117-825-C01/007;7;1;;01/12/2025 00:00;23/01/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 57 a 68;;;;
AB-SPM00021D-114.117-825-C01/008;8;3;;14/01/2026 00:00;23/01/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 68 a 74;27/02/2026 00:00;17/03/2026 00:00;;
AB-SPM00021D-114.117-825-C01/009;9;1;;14/01/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 74 a 87;;;;
AB-SPM00021D-114.117-825-C01/010;10;1;;08/01/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 87 a 99;;;;
AB-SPM00021D-114.117-825-C01/011;11;1;;14/01/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 99 a 111;;;;
AB-SPM00021D-114.117-825-C01/012;12;1;;08/01/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 111 a 123;;;;
AB-SPM00021D-114.117-825-C01/013;13;1;;14/01/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 123 a 135;;;;
AB-SPM00021D-114.117-825-C01/014;14;1;;15/01/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 135 a 147;;;;
AB-SPM00021D-114.117-825-C01/015;15;1;;15/01/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 147 a 159;;;;
AB-SPM00021D-114.117-825-C01/016;16;1;;05/02/2026 00:00;27/02/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 159 a 171;;;;
AB-SPM00021D-114.117-825-C01/017;17;1;;19/02/2026 00:00;20/03/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 171 a 177;;;;
AB-SPM00021D-114.117-825-C01/018;18;1;;17/07/2025 00:00;21/07/2025 00:00;Formas - Seções e detalhes dos apoios 1 a 10;;;;
AB-SPM00021D-114.117-825-C01/019;19;0;;25/07/2025 00:00;;Formas - Seções e detalhes do apoio 11;;;;
AB-SPM00021D-114.117-825-C01/020;20;0;;25/07/2025 00:00;;Formas - Seções e detalhes do apoio 12;;;;
AB-SPM00021D-114.117-825-C01/021;21;0;;25/07/2025 00:00;;Formas - Seções e detalhes do apoio 13;;;;
AB-SPM00021D-114.117-825-C01/022;22;0;;30/07/2025 00:00;;Formas - Seções e detalhes do apoio 14;;;;
AB-SPM00021D-114.117-825-C01/023;23;0;;07/08/2025 00:00;;Formas - Seções e detalhes do apoio 15;;;;
AB-SPM00021D-114.117-825-C01/024;24;1;;07/08/2025 00:00;03/11/2025 00:00;Formas - Seções e detalhes do apoio 16;;;;
AB-SPM00021D-114.117-825-C01/025;25;1;;07/08/2025 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 17;;;;
AB-SPM00021D-114.117-825-C01/026;26;1;;11/08/2026 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 18;;;;
AB-SPM00021D-114.117-825-C01/027;27;1;;11/08/2026 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 19;;;;
AB-SPM00021D-114.117-825-C01/028;28;3;;11/08/2026 00:00;30/09/2025 00:00;Formas - Seções e detalhes do apoio 20 (pórtico sinalização);30/10/2025 00:00;06/01/2026 00:00;;
AB-SPM00021D-114.117-825-C01/029;29;3;;15/08/2025 00:00;30/09/2025 00:00;Formas - Seções e detalhes dos apoios 21, 22, 25 e 26;30/10/2025 00:00;06/01/2026 00:00;;
AB-SPM00021D-114.117-825-C01/030;30;2;;15/08/2025 00:00;30/09/2025 00:00;Formas - Seções e detalhes do apoio 27 a 29;06/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/031;31;1;;15/08/2025 00:00;02/10/2025 00:00;Formas - Seções e detalhes do apoio 30;;;;
AB-SPM00021D-114.117-825-C01/032;32;3;;15/08/2025 00:00;29/08/2025 00:00;Formas - Seções e detalhes do apoio 31;02/10/2025 00:00;06/01/2026 00:00;;
AB-SPM00021D-114.117-825-C01/033;33;2;;15/08/2025 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 32;08/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/034;34;2;;15/08/2025 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 33;15/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/035;35;2;;15/08/2025 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 34;15/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/036;36;2;;22/08/2025 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 35;15/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/037;37;2;;22/08/2025 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 35A;15/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/038;38;3;;22/08/2025 00:00;03/10/2025 00:00;Formas - Seções e detalhes do apoio 36 a 45;06/01/2026 00:00;15/01/2026 00:00;;
AB-SPM00021D-114.117-825-C01/039;39;2;;22/08/2025 00:00;06/01/2026 00:00;Formas - Seções e detalhes dos apoios 46 a 51;15/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/040;40;1;;22/08/2025 00:00;15/01/2026 00:00;Formas - Seções e detalhes do apoio 52;;;;
AB-SPM00021D-114.117-825-C01/041;41;2;;22/08/2025 00:00;02/12/2025 00:00;Formas - Seções e detalhes do apoio 53;15/01/2026 00:00;;;
AB-SPM00021D-114.117-825-C01/042;42;1;;13/11/2025 00:00;15/01/2026 00:00;Formas - Seções e detalhes do apoio 54;;;;
AB-SPM00021D-114.117-825-C01/043;43;1;;02/12/2025 00:00;15/01/2026 00:00;Formas - Seções e detalhes do apoio 55;;;;
AB-SPM00021D-114.117-825-C01/044;44;1;;02/12/2025 00:00;15/01/2026 00:00;Formas - Seções e detalhes do apoio 56 a 66;;;;
AB-SPM00021D-114.117-825-C01/045;45;1;;30/10/2025 00:00;15/01/2026 00:00;Formas - Seções e detalhes dos apoios 23 e 24 (pórtico sinalização);;;;
AB-SPM00021D-114.117-825-C01/046;46;1;;15/01/2026 00:00;29/01/2026 00:00;Formas - Seções e detalhes do apoio 67;;;;
AB-SPM00021D-114.117-825-C01/047;47;1;;15/01/2026 00:00;30/01/2026 00:00;Formas - Seções e detalhes do apoio 68;;;;
AB-SPM00021D-114.117-825-C01/048;48;0;;30/01/2026 00:00;;Formas - Seções e detalhes do apoio 69;;;;
AB-SPM00021D-114.117-825-C01/049;49;1;;06/02/2026 00:00;18/02/2026 00:00;Formas - Seções e detalhes do apoio 70;;;;
AB-SPM00021D-114.117-825-C01/050;50;0;;17/02/2026 00:00;;Formas - Seções e detalhes do apoio 71;;;;
AB-SPM00021D-114.117-825-C01/051;51;;;;;Formas - Seções e detalhes do apoio 72;;;;
AB-SPM00021D-114.117-825-C01/052;52;;;;;Formas - Seções e detalhes do apoio 73;;;;
AB-SPM00021D-114.117-825-C01/053;53;;;;;Formas - Seções e detalhes do apoio 74 a 77, 79 e 80;;;;
AB-SPM00021D-114.117-825-C01/054;54;;;;;Formas - Seções e detalhes do apoio 81;;;;
AB-SPM00021D-114.117-825-C01/055;55;;;;;Formas - Seções e detalhes do apoio 82;;;;
AB-SPM00021D-114.117-825-C01/056;56;;;;;Formas - Seções e detalhes do apoio 83;;;;
AB-SPM00021D-114.117-825-C01/057;57;;;;;Formas - Seções e detalhes do apoio 84;;;;
AB-SPM00021D-114.117-825-C01/058;58;;;;;Formas - Seções e detalhes do apoio 85;;;;
AB-SPM00021D-114.117-825-C01/059;59;;;;;Formas - Seções e detalhes do apoio 86;;;;
AB-SPM00021D-114.117-825-C01/060;60;;;;;Formas - Seções e detalhes do apoio 87;;;;
AB-SPM00021D-114.117-825-C01/061;61;;;;;Formas - Seções e detalhes do apoio 88;;;;
AB-SPM00021D-114.117-825-C01/062;62;;;;;Formas - Seções e detalhes do apoio 89;;;;
AB-SPM00021D-114.117-825-C01/063;63;;;;;Formas - Seções e detalhes do apoio 90;;;;
AB-SPM00021D-114.117-825-C01/064;64;;;;;Formas - Seções e detalhes do apoio 91;;;;
AB-SPM00021D-114.117-825-C01/065;65;;;;;Formas - Seções e detalhes do apoio 92;;;;
AB-SPM00021D-114.117-825-C01/066;66;;;;;Formas - Seções e detalhes do apoio 93;;;;
AB-SPM00021D-114.117-825-C01/067;67;0;;18/02/2026 00:00;;Formas - Seções e detalhes do apoio 95 a 99;;;;
AB-SPM00021D-114.117-825-C01/068;68;0;;18/02/2026 00:00;;Formas - Seções e detalhes do apoio 100 a 104;;;;
AB-SPM00021D-114.117-825-C01/069;69;0;;18/02/2026 00:00;;Formas - Seções e detalhes do apoio 105 a 108, 110 e 111;;;;
AB-SPM00021D-114.117-825-C01/070;70;0;;18/02/2026 00:00;;Formas - Seções e detalhes do apoio 112 a 118;;;;
AB-SPM00021D-114.117-825-C01/071;71;0;;19/02/2026 00:00;;Formas - Seções e detalhes do apoio 119 a 125;;;;
AB-SPM00021D-114.117-825-C01/072;72;0;;20/02/2026 00:00;;Formas - Seções e detalhes do apoio 126 a 132;;;;
AB-SPM00021D-114.117-825-C01/073;73;0;;20/02/2026 00:00;;Formas - Seções e detalhes do apoio 133 e 135 a 140;;;;
AB-SPM00021D-114.117-825-C01/074;74;0;;24/02/2026 00:00;;Formas - Seções e detalhes do apoio 141 a 148;;;;
AB-SPM00021D-114.117-825-C01/075;75;0;;24/02/2026 00:00;;Formas - Seções e detalhes do apoio 149;;;;
AB-SPM00021D-114.117-825-C01/076;76;0;;26/02/2026 00:00;;Formas - Seções e detalhes do apoio 150;;;;
AB-SPM00021D-114.117-825-C01/077;77;0;;26/02/2026 00:00;;Formas - Seções e detalhes do apoio 151;;;;
AB-SPM00021D-114.117-825-C01/078;78;;;;;Formas - Seções e detalhes do apoio 152;;;;
AB-SPM00021D-114.117-825-C01/079;79;;;;;Formas - Seções e detalhes do apoio 153;;;;
AB-SPM00021D-114.117-825-C01/080;80;;;;;Formas - Seções e detalhes do apoio 154;;;;
AB-SPM00021D-114.117-825-C01/081;81;;;;;Formas - Seções e detalhes do apoio 155 a 161;;;;
AB-SPM00021D-114.117-825-C01/082;82;;;;;Formas - Seções e detalhes do apoio 162;;;;
AB-SPM00021D-114.117-825-C01/083;83;;;;;Formas - Seções e detalhes do apoio 163;;;;
AB-SPM00021D-114.117-825-C01/084;84;;;;;Formas - Seções e detalhes do apoio 164;;;;
AB-SPM00021D-114.117-825-C01/085;85;;;;;Formas - Seções e detalhes do apoio 165;;;;
AB-SPM00021D-114.117-825-C01/086;86;;;;;Formas - Seções e detalhes do apoio 166;;;;
AB-SPM00021D-114.117-825-C01/087;87;;;;;Formas - Seções e detalhes do apoio 167;;;;
AB-SPM00021D-114.117-825-C01/088;88;;;;;Formas - Seções e detalhes do apoio 168;;;;
AB-SPM00021D-114.117-825-C01/089;89;;;;;Formas - Seções e detalhes do apoio 169;;;;
AB-SPM00021D-114.117-825-C01/090;90;;;;;Formas - Seções e detalhes do apoio 170;;;;
AB-SPM00021D-114.117-825-C01/091;91;;;;;Formas - Seções e detalhes do apoio 171;;;;
AB-SPM00021D-114.117-825-C01/092;92;;;;;Formas - Seções e detalhes do apoio 172;;;;
AB-SPM00021D-114.117-825-C01/093;93;;;;;Formas - Seções e detalhes do apoio 173;;;;
AB-SPM00021D-114.117-825-C01/094;94;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 174;;;;
AB-SPM00021D-114.117-825-C01/095;95;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 175;;;;
AB-SPM00021D-114.117-825-C01/096;96;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 176;;;;
AB-SPM00021D-114.117-825-C01/097;97;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 177;;;;
AB-SPM00021D-114.117-825-C01/098;98;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 178;;;;
AB-SPM00021D-114.117-825-C01/099;99;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 179;;;;
AB-SPM00021D-114.117-825-C01/100;100;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 180;;;;
AB-SPM00021D-114.117-825-C01/101;101;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 181;;;;
AB-SPM00021D-114.117-825-C01/102;102;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 182;;;;
AB-SPM00021D-114.117-825-C01/103;103;0;;01/12/2025 00:00;;Formas - Plantas - apoios 1 a 21;;;;
AB-SPM00021D-114.117-825-C01/104;104;0;;06/02/2026 00:00;;Formas - Plantas - apoios 21 a 45;;;;
AB-SPM00021D-114.117-825-C01/105;105;0;;05/03/2026 00:00;;Formas - Plantas - apoios 45 a 68;;;;
