QUADRO DE CONTROLE DE OBRA;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;;;
;;;Obra: ;Complexo Alto Tietê - OAE Marginal - fase 02;;;P3931;;
;;;Estrada: ;SP-021 - Rodoanel Mário Covas - Leste;;;;;
;;;km / estaca: ;km 114+600 ao  km 117+000;;;;;
N;FOL / CÓD.;REV.;ASSUNTO;;R0;R1;R2;R3;R4
;;;;;;;;;
1;AB-SPM00021D-114.117-825-C01-001;3;Implantação - Planta, elevação e sondagens - apoios 1 a 13;;2025-07-11 00:00:00;2025-07-17 00:00:00;2025-07-21 00:00:00;2025-07-25 00:00:00;
2;AB-SPM00021D-114.117-825-C01-002;3;Implantação - Planta, elevação e sondagens - apoios 13 a 21 - parte 1/2;;2025-08-06 00:00:00;2025-08-08 00:00:00;2025-09-26 00:00:00;2026-02-17 00:00:00;
3;AB-SPM00021D-114.117-825-C01-003;3;Implantação - Planta, elevação e sondagens - apoios 13 a 21 - parte 2/2;;2025-08-06 00:00:00;2025-08-08 00:00:00;2025-09-26 00:00:00;2025-09-29 00:00:00;
4;AB-SPM00021D-114.117-825-C01-004;2;Implantação - Planta, elevação e sondagens - apoios 21 a 33;;2025-07-25 00:00:00;2025-08-06 00:00:00;2025-09-26 00:00:00;;
5;AB-SPM00021D-114.117-825-C01-005;2;Implantação - Planta, elevação e sondagens - apoios 33 a 45;;2026-08-11 00:00:00;2025-08-22 00:00:00;2025-08-29 00:00:00;;
6;AB-SPM00021D-114.117-825-C01-006;0;Implantação - Planta, elevação e sondagens - apoios 45 a 57;;2025-09-26 00:00:00;;;;
7;AB-SPM00021D-114.117-825-C01-007;1;Implantação - Planta, elevação e sondagens - apoios 57 a 68;;2025-12-01 00:00:00;2026-01-23 00:00:00;;;
8;AB-SPM00021D-114.117-825-C01-008;3;Implantação - Planta, elevação e sondagens - apoios 68 a 74;;2026-01-14 00:00:00;2026-01-23 00:00:00;2026-02-27 00:00:00;2026-03-17 00:00:00;
9;AB-SPM00021D-114.117-825-C01-009;1;Implantação - Planta, elevação e sondagens - apoios 74 a 87;;2026-01-14 00:00:00;2026-02-27 00:00:00;;;
10;AB-SPM00021D-114.117-825-C01-010;1;Implantação - Planta, elevação e sondagens - apoios 87 a 99;;2026-01-08 00:00:00;2026-02-27 00:00:00;;;
11;AB-SPM00021D-114.117-825-C01-011;1;Implantação - Planta, elevação e sondagens - apoios 99 a 111;;2026-01-14 00:00:00;2026-02-27 00:00:00;;;
12;AB-SPM00021D-114.117-825-C01-012;1;Implantação - Planta, elevação e sondagens - apoios 111 a 123;;2026-01-08 00:00:00;2026-02-27 00:00:00;;;
13;AB-SPM00021D-114.117-825-C01-013;1;Implantação - Planta, elevação e sondagens - apoios 123 a 135;;2026-01-14 00:00:00;2026-02-27 00:00:00;;;
14;AB-SPM00021D-114.117-825-C01-014;1;Implantação - Planta, elevação e sondagens - apoios 135 a 147;;2026-01-15 00:00:00;2026-02-27 00:00:00;;;
