assunto;nome;fase;projetista;path;tipo_doc;obra;trecho;codigo;materia;materia_num;pagina;revisao;rev_num;rev_suf;revisao_status;tipo_arquivo
IMPLANTAÇÃO DOS PÓRTICOS NA ESTRUTURA EXISTENTE;DE-SPM00021D-113.119-825-C01/001;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_001.R1a.dwg;DE;SPM00021D;113.119;825;C;01;001;R1a;1;a;NOVO;dwg
IMPLANTAÇÃO DOS PÓRTICOS NA ESTRUTURA EXISTENTE;DE-SPM00021D-113.119-825-C01/001;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_001.R1a.pdf;DE;SPM00021D;113.119;825;C;01;001;R1a;1;a;NOVO;pdf
IMPLANTAÇÃO DOS PÓRTICOS NA ESTRUTURA PROJETADA;DE-SPM00021D-113.119-825-C01/002;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_002.R1a.dwg;DE;SPM00021D;113.119;825;C;01;002;R1a;1;a;NOVO;dwg
IMPLANTAÇÃO DOS PÓRTICOS NA ESTRUTURA PROJETADA;DE-SPM00021D-113.119-825-C01/002;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_002.R1a.pdf;DE;SPM00021D;113.119;825;C;01;002;R1a;1;a;NOVO;pdf
FORMA E ARMADURA DO REFORÇO NOS PORTICOS DOS APOIOS 523i e 526i;DE-SPM00021D-113.119-825-C01/004;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_004.R1a.dwg;DE;SPM00021D;113.119;825;C;01;004;R1a;1;a;NOVO;dwg
FORMA E ARMADURA DO REFORÇO NOS PORTICOS DOS APOIOS 523i e 526i;DE-SPM00021D-113.119-825-C01/004;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_004.R1a.pdf;DE;SPM00021D;113.119;825;C;01;004;R1a;1;a;NOVO;pdf
FORMA E ARMADURA DO REFORÇO NOS PORTICOS DOS APOIOS 205e/280e/289e;DE-SPM00021D-113.119-825-C01/005;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_005.R1a.dwg;DE;SPM00021D;113.119;825;C;01;005;R1a;1;a;NOVO;dwg
FORMA E ARMADURA DO REFORÇO NOS PORTICOS DOS APOIOS 205e/280e/289e;DE-SPM00021D-113.119-825-C01/005;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_005.R1a.pdf;DE;SPM00021D;113.119;825;C;01;005;R1a;1;a;NOVO;pdf
FORMA E ARMADURA DO REFORÇO NO PORTICO DO APOIO 691i;DE-SPM00021D-113.119-825-C01/006;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_006.R1a.dwg;DE;SPM00021D;113.119;825;C;01;006;R1a;1;a;NOVO;dwg
FORMA E ARMADURA DO REFORÇO NO PORTICO DO APOIO 691i;DE-SPM00021D-113.119-825-C01/006;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/DE-SPM00021D-113.119-825-C01_006.R1a.pdf;DE;SPM00021D;113.119;825;C;01;006;R1a;1;a;NOVO;pdf
;MC-SPM00021D-113.119-825-C01-001;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/MC-SPM00021D-113.119-825-C01-001.R1a.docx;MC;SPM00021D;113.119;825;C;01;;R1a;1;a;NOVO;docx
;MC-SPM00021D-113.119-825-C01-001;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/MC-SPM00021D-113.119-825-C01-001.R1a.pdf;MC;SPM00021D;113.119;825;C;01;;R1a;1;a;NOVO;pdf
FORMA APOIO 18;DE-SPM00021D-114.117-825-C01/058;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_058.R4a.dwg;DE;SPM00021D;114.117;825;C;01;058;R4a;4;a;NOVO;dwg
FORMA APOIO 18;DE-SPM00021D-114.117-825-C01/058;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_058.R4a.pdf;DE;SPM00021D;114.117;825;C;01;058;R4a;4;a;NOVO;pdf
FORMA APOIO 20,21,22;DE-SPM00021D-114.117-825-C01/060;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_060.R1a.dwg;DE;SPM00021D;114.117;825;C;01;060;R1a;1;a;NOVO;dwg
FORMA APOIO 20,21,22;DE-SPM00021D-114.117-825-C01/060;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_060.R1a.pdf;DE;SPM00021D;114.117;825;C;01;060;R1a;1;a;NOVO;pdf
FORMA APOIO 23,24,25;DE-SPM00021D-114.117-825-C01/061;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_061.R3a.dwg;DE;SPM00021D;114.117;825;C;01;061;R3a;3;a;NOVO;dwg
FORMA APOIO 23,24,25;DE-SPM00021D-114.117-825-C01/061;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_061.R3a.pdf;DE;SPM00021D;114.117;825;C;01;061;R3a;3;a;NOVO;pdf
FORMA APOIO 134,135,136;DE-SPM00021D-114.117-825-C01/116;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_116.R2a.dwg;DE;SPM00021D;114.117;825;C;01;116;R2a;2;a;NOVO;dwg
FORMA APOIO 134,135,136;DE-SPM00021D-114.117-825-C01/116;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_116.R2a.pdf;DE;SPM00021D;114.117;825;C;01;116;R2a;2;a;NOVO;pdf
ARMAÇÃO DA VIGA TRAVESSA DO APOIO 18;DE-SPM00021D-114.117-825-C01/243;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_243.R4a.dwg;DE;SPM00021D;114.117;825;C;01;243;R4a;4;a;NOVO;dwg
ARMAÇÃO DA VIGA TRAVESSA DO APOIO 18;DE-SPM00021D-114.117-825-C01/243;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_243.R4a.pdf;DE;SPM00021D;114.117;825;C;01;243;R4a;4;a;NOVO;pdf
ARMAÇÃO DAS VIGAS TRAVESSAS DOS APOIOS 20 A 28;DE-SPM00021D-114.117-825-C01/245;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_245.R4a.dwg;DE;SPM00021D;114.117;825;C;01;245;R4a;4;a;NOVO;dwg
ARMAÇÃO DAS VIGAS TRAVESSAS DOS APOIOS 20 A 28;DE-SPM00021D-114.117-825-C01/245;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_245.R4a.pdf;DE;SPM00021D;114.117;825;C;01;245;R4a;4;a;NOVO;pdf
ARM. DAS VIGAS TRAVESSAS DOS APOIOS 25, 78 E 109;DE-SPM00021D-114.117-825-C01/404;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_404.R3a.dwg;DE;SPM00021D;114.117;825;C;01;404;R3a;3;a;NOVO;dwg
ARM. DAS VIGAS TRAVESSAS DOS APOIOS 25, 78 E 109;DE-SPM00021D-114.117-825-C01/404;;;BASES DOS PÓRTICOS E SEMIPÓRTICOS/OAE MARGINAL/DE-SPM00021D-114.117-825-C01_404.R3a.pdf;DE;SPM00021D;114.117;825;C;01;404;R3a;3;a;NOVO;pdf
FORMA DA SUPEREST. DOS VÃOS 39 A 44;DE-SPM00021D-114.117-825-C01/405;;;CALLBOX/DE-SPM00021D-114.117-825-C01_405.R0a.dwg;DE;SPM00021D;114.117;825;C;01;405;R0a;0;a;NOVO;dwg
FORMA DA SUPEREST. DOS VÃOS 39 A 44;DE-SPM00021D-114.117-825-C01/405;;;CALLBOX/DE-SPM00021D-114.117-825-C01_405.R0a.pdf;DE;SPM00021D;114.117;825;C;01;405;R0a;0;a;NOVO;pdf
LOCAÇÃO DOS CALL BOX;DE-SPM00021D-114.117-825-C01/419;;;CALLBOX/DE-SPM00021D-114.117-825-C01_419.R0a.dwg;DE;SPM00021D;114.117;825;C;01;419;R0a;0;a;NOVO;dwg
LOCAÇÃO DOS CALL BOX;DE-SPM00021D-114.117-825-C01/419;;;CALLBOX/DE-SPM00021D-114.117-825-C01_419.R0a.dwl;DE;SPM00021D;114.117;825;C;01;419;R0a;0;a;NOVO;dwl
LOCAÇÃO DOS CALL BOX;DE-SPM00021D-114.117-825-C01/419;;;CALLBOX/DE-SPM00021D-114.117-825-C01_419.R0a.dwl2;DE;SPM00021D;114.117;825;C;01;419;R0a;0;a;NOVO;dwl2
LOCAÇÃO DOS CALL BOX;DE-SPM00021D-114.117-825-C01/419;;;CALLBOX/DE-SPM00021D-114.117-825-C01_419.R0a.pdf;DE;SPM00021D;114.117;825;C;01;419;R0a;0;a;NOVO;pdf
CALL BOX - FORMA E ARMAÇÃO DA ESTRUTURA;DE-SPM00021D-114.117-825-C01/420;;;CALLBOX/DE-SPM00021D-114.117-825-C01_420.R0a.dwg;DE;SPM00021D;114.117;825;C;01;420;R0a;0;a;NOVO;dwg
CALL BOX - FORMA E ARMAÇÃO DA ESTRUTURA;DE-SPM00021D-114.117-825-C01/420;;;CALLBOX/DE-SPM00021D-114.117-825-C01_420.R0a.pdf;DE;SPM00021D;114.117;825;C;01;420;R0a;0;a;NOVO;pdf
;MC-SPM00021D-114.117-825-C01-003;;;CALLBOX/MC-SPM00021D-114.117-825-C01-003.R0a.docx;MC;SPM00021D;114.117;825;C;01;;R0a;0;a;NOVO;docx
;MC-SPM00021D-114.117-825-C01-003;;;CALLBOX/MC-SPM00021D-114.117-825-C01-003.R0a.pdf;MC;SPM00021D;114.117;825;C;01;;R0a;0;a;NOVO;pdf
;RELOCAÇÕES CALL BOXES;;;CALLBOX/RELOCAÇÕES CALL BOXES.kmz;RELOCAÇÕES CALL BOXES;;;;;;;;0;;NOVO;kmz
Levantamento topográfico - Planta;DE-SPM00021D-114.116-825-T01/001;Fase 1;CANHEDO;CANHEDO/FASE 01/00-Topografia/PROJETOS/DE-SPM00021D-114.116-825-T01_001.R1a.dwg;DE;SPM00021D;114.116;825;T;01;001;R1a;1;a;NOVO;dwg
